model,accuracy,f1_score,precision,recall,evaluation_time,num_samples
zient_core,0.967989756722151,0.967811253311835,0.9683790239152913,0.967989756722151,1904.358,11715
finbert,0.7616730687153223,0.763073056167968,0.7718687666762067,0.7616730687153223,3362.5864,11715
